,Age,FEMALE NO NOISE WORDS,FEMALE NOISE SENTENCE,FEMALE NOISY WORDS,FEMALE SENTENCE,FEMALE WORDS,GENDER,G_ORDER,ID,MALE NO NOISE WORDS,MALE NOISE SENTENCE,MALE NOISY WORDS,MALE SENTENCE,MALE WORDS,NO NOISE SENTENCE,NO NOISE WORDS,NOISE SENTENCE,NOISY WORDS,N_ORDER,PERS,RT_Correct,RT_Female,RT_Male,RT_Without_noise,RT_Wrong,RT_noise,Raw Short Memory,Raw working memory,SHM,TOTAL_RT,WM
38,36.0,17.0,3.0,18.0,5.0,35.0,1.0,female first,6097f9917560b5ec4db8f8bd,15.0,2.0,18.0,4.0,33.0,4.0,32.0,5.0,36.0,noise second,EXTRA,1.5463650000002445,1.618987749999539,1.662602401563148,1.6228834999997956,2.175898838540905,1.6587066515628912,5.0,2.0,HIGH,1.6407950757813434,LOW
39,23.0,20.0,4.0,17.0,7.0,37.0,2.0,female first,5d4279186a751d001945863d,20.0,2.0,17.0,4.0,37.0,5.0,40.0,6.0,34.0,noise first,EXTRA,1.0767657221283522,1.0847527109374762,1.1291484609374771,1.0423618359374893,1.479230572916678,1.171539335937464,4.0,4.0,AVERAGE,1.1069505859374766,AVERAGE
40,21.0,16.0,4.0,13.0,8.0,29.0,1.0,female first,60a6df0dadb12754fdf80eb7,16.0,3.0,16.0,7.0,32.0,8.0,32.0,7.0,29.0,noise first,EXTRA,1.6398713627042436,1.669869914066403,1.606238414053696,1.667490664058023,1.6322199999918474,1.6086176640620762,4.0,2.0,AVERAGE,1.6380541640600494,LOW
41,33.0,19.0,1.0,20.0,2.0,39.0,1.0,female first,5d16d81a6be726001a39ca74,19.0,2.0,17.0,5.0,36.0,4.0,38.0,3.0,37.0,noise second,EXTRA,1.8357686208375767,1.8350070000073173,2.0230245781280245,1.996590875001857,3.3277233125190833,1.861440703133485,6.0,6.0,HIGH,1.929015789067671,HIGH
42,21.0,16.0,4.0,14.0,8.0,30.0,2.0,male first,603809ecb6ca33179580acd2,15.0,4.0,12.0,8.0,27.0,8.0,31.0,8.0,26.0,noise first,INTRA,1.108605175443492,1.143649250002636,0.9803704562556231,1.0276791250071255,0.9465344891326664,1.0963405812511338,6.0,4.0,HIGH,1.0620098531291295,AVERAGE
43,34.0,13.0,4.0,11.0,8.0,24.0,1.0,male first,56b9ff0f1a7862000c6f8dff,13.0,4.0,14.0,7.0,27.0,7.0,26.0,8.0,25.0,noise first,EXTRA,0.9625838235281431,0.9901083750010002,0.9333831609362142,0.9308155359377315,0.9602719461225269,0.9926759999994829,4.0,4.0,AVERAGE,0.9617457679686072,AVERAGE
44,35.0,17.0,4.0,16.0,8.0,33.0,2.0,male first,5a3dd0751950a80001e7b18e,19.0,4.0,16.0,8.0,35.0,8.0,36.0,8.0,32.0,noise first,EXTRA,1.4468045588291716,1.5950067500030856,1.3913253750040895,1.4616712500108406,1.755881249991944,1.5246608749963344,5.0,2.0,HIGH,1.4931660625035874,LOW
45,29.0,11.0,2.0,12.0,4.0,23.0,2.0,male first,609fb3231a79ef528e531459,10.0,1.0,8.0,5.0,18.0,6.0,21.0,3.0,20.0,noise first,EXTRA,0.43224733231309515,0.4036772187524184,0.450530796870662,0.3896415468728083,0.42169692307913625,0.4645664687502722,5.0,4.0,HIGH,0.42710400781154023,AVERAGE
46,30.0,17.0,4.0,18.0,8.0,35.0,1.0,male first,5f4813c94e8b081877fb26a6,19.0,4.0,15.0,8.0,34.0,8.0,36.0,8.0,33.0,noise second,INTRA,1.2793412898583008,1.2601145000051475,1.4240760999999837,1.230509350007087,1.7357340909074992,1.4536812499980443,5.0,4.0,HIGH,1.3420953000025657,AVERAGE
47,29.0,16.0,4.0,19.0,6.0,35.0,1.0,male first,5d4b265b72db9d0015e8aac6,19.0,4.0,20.0,8.0,39.0,6.0,35.0,8.0,39.0,noise first,INTRA,0.8623415565917173,0.9099830015605039,0.8386663781273092,0.8405342500074766,1.0221166666209076,0.9081151296803364,5.0,6.0,HIGH,0.8743246898439065,HIGH
48,36.0,19.0,4.0,20.0,8.0,39.0,1.0,female first,5fe11e55e66d7fb4fe5629d5,20.0,4.0,19.0,7.0,39.0,7.0,39.0,8.0,39.0,noise second,EXTRA,1.2478949471149603,1.2095826359343118,1.3022575109390528,1.2249285000027157,1.5688999999838416,1.2869116468706487,5.0,4.0,HIGH,1.2559200734366822,AVERAGE
49,22.0,17.0,4.0,18.0,7.0,35.0,1.0,female first,60117c5b37b7fa080e5efca9,16.0,2.0,18.0,5.0,34.0,6.0,33.0,6.0,36.0,noise first,EXTRA,1.2892658686563663,1.3026761234359037,1.3738547484346235,1.3467473749973577,1.6456263579574377,1.3297834968731694,4.0,6.0,AVERAGE,1.3382654359352637,HIGH
50,29.0,14.0,4.0,13.0,7.0,27.0,2.0,male first,609c32eefc4ebf848758c6fe,14.0,2.0,14.0,6.0,28.0,7.0,28.0,6.0,27.0,noise second,INTRA,1.3581270749997003,1.4705871593803204,1.4031166937448507,1.3871150687481348,1.6100466000009328,1.486588784377036,4.0,2.0,AVERAGE,1.4368519265625854,LOW
51,28.0,10.0,1.0,10.0,4.0,20.0,1.0,male first,5f3abe937b82ea159acfbb79,9.0,4.0,8.0,7.0,17.0,6.0,19.0,5.0,18.0,noise second,INTRA,0.13480682262849547,0.17359806092445068,0.11817137187499611,0.10429549686414248,0.15541685755171022,0.18747393593530431,5.0,3.0,HIGH,0.1458847163997234,AVERAGE
52,22.0,17.0,4.0,15.0,8.0,32.0,1.0,male first,5fc1eec7b53fe8238532add3,16.0,4.0,13.0,8.0,29.0,8.0,33.0,8.0,28.0,noise second,EXTRA,1.915233852459353,2.0469832499991525,2.202324000001312,1.9336565000008648,2.79700131578937,2.3156507499995995,4.0,4.0,AVERAGE,2.1246536250002324,AVERAGE
53,33.0,17.0,1.0,18.0,2.0,35.0,2.0,female first,60a111bbb42ecbc586cf5f16,16.0,3.0,13.0,6.0,29.0,4.0,33.0,4.0,31.0,noise second,INTRA,1.9964109375034376,1.9919100000023946,1.9647562812524295,1.9549375000037343,1.9060219531233096,2.0017287812510896,4.0,3.0,AVERAGE,1.978333140627412,AVERAGE
54,33.0,14.0,0.0,10.0,2.0,24.0,Female,female first,5f848e4bde188f1084c681bb,12.0,3.0,15.0,6.0,27.0,5.0,26.0,3.0,25.0,noise second,EXTRA,1.180283627445426,1.1415728749881964,1.2148340000072495,1.1693629999936093,1.1745451724172795,1.1870438750018366,3.0,0.0,AVERAGE,1.1782034374977228,LOW
55,26.0,10.0,3.0,11.0,6.0,21.0,1,male first,5c6d90b9806b55000119cf92,12.0,3.0,11.0,4.0,23.0,4.0,22.0,6.0,22.0,noise second,EXTRA,0.7547338068181734,0.8368499999999983,0.22015718749998398,0.18308218750000804,0.2519999999999906,0.8739249999999743,4.0,2.0,AVERAGE,0.5285035937499911,LOW
